filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
cpython\Doc\includes\email-read-alternative.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",32,[32],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Doc\includes\sqlite3\complete_statement.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",15,[15],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\_bootsubprocess.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",80,[80],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\_osx_support.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",71,[71],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\_osx_support.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",238,"[238, 239, 240, 241]",https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\_sitebuiltins.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",81,[81],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\asyncio\unix_events.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",790,"[789, 790, 791]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\cmd.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",126,[126],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\code.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",274,[274],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\command\bdist_rpm.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",340,[340],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\distutils\command\register.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",147,[147],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\command\register.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",156,[156],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\command\register.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",183,[183],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\command\register.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",194,[194],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\command\register.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",205,[205],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\command\register.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",217,[217],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\distutils\cygwinccompiler.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",380,[380],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\distutils\tests\test_cygwinccompiler.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",25,[25],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\distutils\tests\test_spawn.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (exe).,32,[32],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\distutils\tests\test_spawn.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (exe).,43,[43],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\fileinput.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",424,[424],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\idlelib\iomenu.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",330,[330],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\imaplib.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",1370,"[1367, 1368, 1369, 1370]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\lib2to3\tests\pytree_idempotency.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",89,[89],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\mailcap.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",173,[173],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\mailcap.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",253,[253],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\os.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",984,"[983, 984, 985, 986]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\os.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",990,"[989, 990, 991, 992]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\pdb.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",876,[876],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\pipes.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",160,[160],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\pipes.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",168,[168],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\pipes.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",171,[171],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\platform.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",287,"[284, 285, 286, 287]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\pydoc.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",1583,[1583],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\pydoc.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",1597,[1597],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\pydoc.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",1624,[1624],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\pydoc.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",2035,[2035],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\pydoc.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",2709,[2709],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\libregrtest\main.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",540,[540],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\test\libregrtest\main.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",662,[662],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_builtin.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",1308,[1308],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_builtin.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",1309,[1309],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_builtin.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",1310,[1310],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_builtin.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",1322,[1322],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_builtin.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",2102,[2102],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_builtin.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",2134,[2134],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_ftplib.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,6,[6],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,478,[478],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,723,[723],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,731,[731],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,741,[741],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,780,[780],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,781,[781],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,782,[782],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,783,[783],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
