filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
asterisk\build_tools\get_documentation.py,blacklist,B408,LOW,HIGH,"Using xml.dom.minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",12,"[12, 13, 14]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b408-import-xml-minidom
asterisk\build_tools\get_documentation.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,97,[97],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-minidom
asterisk\build_tools\post_process_documentation.py,blacklist,B408,LOW,HIGH,"Using parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace parse with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",14,"[14, 15, 16]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b408-import-xml-minidom
asterisk\build_tools\post_process_documentation.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,92,[92],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-minidom
asterisk\contrib\ast-db-manage\env.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",18,[18],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
asterisk\contrib\scripts\spandspflow2pcap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,107,"[107, 108]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
asterisk\contrib\scripts\spandspflow2pcap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,217,[217],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
asterisk\contrib\scripts\spandspflow2pcap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,221,[221],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
asterisk\contrib\scripts\spandspflow2pcap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,225,[225],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
asterisk\contrib\scripts\spandspflow2pcap.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,231,"[231, 232]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
asterisk\rest-api-templates\asterisk_processor.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,[94],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
asterisk\rest-api-templates\asterisk_processor.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,107,[107],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
